ID,Name,Development,BT,BP,BM,Trade good,Trade node,Modifiers,Type,Continent,Superregion,Region,Area
1009,Atikaki,3,1,1,1,,Hudson Bay,,Land,North America,North America,Hudson Bay,Hudson Bay
1010,Manitowapow,3,1,1,1,,Hudson Bay,,Land,North America,North America,Hudson Bay,Manitoba
1011,Kinougeoulini,3,1,1,1,,Hudson Bay,,Land,North America,North America,Hudson Bay,Manitoba
1012,Satsuma,9,3,3,3,,Nippon,,Land,Asia,Far East,Japan,Southern Kyushu
1013,Cheongju,8,3,3,2,,Nippon,,Land,Asia,Far East,Korea,Southern Korea
1014,Bungo,9,4,2,3,,Nippon,,Land,Asia,Far East,Japan,Northern Kyushu
1015,Okinawa,5,2,2,1,,Nippon,,Land,Asia,Far East,Japan,Southern Kyushu
1016,Ha Tinh,11,5,3,3,,Canton,,Land,Asia,East Indies,Indochina,Annam
1017,Suo,9,4,2,3,,Nippon,Natural Harbor,Land,Asia,Far East,Japan,Sanyodo
1018,Izumo,8,3,3,2,,Nippon,,Land,Asia,Far East,Japan,San'indo
1019,Harima,8,3,3,2,,Nippon,,Land,Asia,Far East,Japan,Sanyodo
1020,Kyoto,13,6,5,2,,Nippon,Heian-kyo,Land,Asia,Far East,Japan,Kinai
1021,Settsu,15,6,6,3,,Nippon,Natural Harbor,Land,Asia,Far East,Japan,Kinai
1022,Indrapura,10,4,4,2,,Siam,,Land,Asia,East Indies,Indochina,Champa
1023,Echizen,9,3,4,2,,Nippon,,Land,Asia,Far East,Japan,Hokuriku
1024,Echigo,11,4,4,3,,Nippon,,Land,Asia,Far East,Japan,Hokuriku
1025,Uzen,7,2,2,3,,Nippon,,Land,Asia,Far East,Japan,Tohoku
1026,Rikuzen,9,3,3,3,,Nippon,,Land,Asia,Far East,Japan,Tohoku
1027,Hitachi,6,2,2,2,,Nippon,,Land,Asia,Far East,Japan,Eastern Kanto
1028,Musashi,15,6,6,3,,Nippon,Entrepot,Land,Asia,Far East,Japan,Western Kanto
1029,Kai,9,3,3,3,,Nippon,,Land,Asia,Far East,Japan,Eastern Chubu
1030,Owari,10,4,4,2,,Nippon,,Land,Asia,Far East,Japan,Western Chubu
1031,Kamikawa,3,1,1,1,,Nippon,,Land,Asia,Far East,Japan,Hokkaido
1032,The Kurils,3,1,1,1,,Nippon,,Land,Asia,Far East,Japan,Hokkaido
1033,Enchiw,3,1,1,1,,Girin,,Land,Asia,Far East,Manchuria,Sakhalin
1034,Kamchatka,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kamchatka
1035,Penzhina,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kamchatka
1036,Kolyma,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kolyma
1037,Omolon,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kolyma
1038,Karalveyem,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kamchatka
1039,Verkhoyansk,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kolyma
1040,Suntar Khayata,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kolyma
1041,Gizhiga,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Kamchatka
1042,Sakha,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Sakha
1043,Okhotsk,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Okhotsk
1044,Tauisk,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Okhotsk
1045,Yakut,3,1,1,1,,Siberia,,Land,Asia,Tartary,East Siberia,Yakutia
1046,Maya,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Sakha
1047,Jugjur,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Okhotsk
1048,Miyoo Gasan,6,2,2,2,,Girin,,Land,Asia,Far East,Manchuria,North Ilin Hala
1049,Haiilanboo,6,2,2,2,,Girin,,Land,Asia,Far East,Manchuria,East Heilongjiangord
1050,Tyr,11,4,4,3,,Girin,Amur Estuary,Land,Asia,Far East,Manchuria,North Ilin Hala
1051,Aldan,3,1,1,1,,Siberia,,Land,Asia,Tartary,East Siberia,Yakutia
1052,Stanovoy,4,1,1,2,,Girin,,Land,Asia,Tartary,East Siberia,Okhotsk
1053,Hinggan,7,2,2,3,,Girin,,Land,Asia,Far East,Manchuria,West Heilongjiangord
1054,Mukhtuya,3,1,1,1,,Siberia,,Land,Asia,Tartary,East Siberia,Yakutia
1055,Kirenga,6,2,2,2,,Girin,,Land,Asia,Tartary,East Siberia,Buryatia
1056,Barguzin,9,3,3,3,,Girin,,Land,Asia,Tartary,East Siberia,Buryatia
1057,Ude,8,3,3,2,,Girin,,Land,Asia,Tartary,East Siberia,Buryatia
1058,Onan Gol,3,1,1,1,,Girin,,Land,Asia,Tartary,East Siberia,Buryatia
1059,East Tunguska,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Tunguska
1060,Irkutsk,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Irkutsk
1061,West Tunguska,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Tunguska
1062,Angara,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Irkutsk
1063,Sayan,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Irkutsk
1064,Tomsk,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Central Siberia
1065,Kuznetsk,3,1,1,1,,Siberia,,Land,Asia,Tartary,Mongolia,Tannu Uriankhai
1066,Altai Uriankhai,3,1,1,1,,Siberia,,Land,Asia,Tartary,Mongolia,Tannu Uriankhai
1067,Turukhan,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Central Siberia
1068,Ket,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Central Siberia
1069,Surgut,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Kara
1070,Narim,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Central Siberia
1071,Irtesh,6,2,2,2,,Siberia,,Land,Asia,Tartary,West Siberia,Yrtesh
1072,Obdorsk,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Kara
1073,Berezov,3,1,1,1,,Siberia,,Land,Asia,Tartary,West Siberia,Kara
1074,Sibir,6,2,2,2,,Siberia,,Land,Asia,Tartary,West Siberia,Ishim
1075,Tyumen,12,4,4,4,,Siberia,,Land,Asia,Tartary,West Siberia,Ishim
1076,Kurgan,9,3,3,3,,Siberia,,Land,Asia,Tartary,West Siberia,Ishim
1077,Solikamsk,9,3,5,1,,White Sea,,Land,Europe,Eastern Europe,Ural,Perm
1078,Tura,3,1,1,1,,Siberia,,Land,Europe,Eastern Europe,Ural,Ural
1079,Viatka,10,3,3,4,,Kazan,,Land,Europe,Eastern Europe,Ural,Galich
1080,Pelym,3,1,1,1,,Siberia,,Land,Europe,Eastern Europe,Ural,Ural
1081,Simbirsk,3,1,1,1,,Kazan,,Land,Europe,Eastern Europe,Ural,Samara
1082,Kazan,15,6,6,3,,Kazan,Market Town,Land,Europe,Eastern Europe,Ural,Kazan
1083,Vetluga,8,3,3,2,,Kazan,,Land,Europe,Eastern Europe,Ural,Galich
1084,Wadjuk,9,3,4,2,,Australia,Natural Harbor,Land,Oceania,Oceania,Australia,Perth
1085,Paredarerme,6,2,2,2,,Australia,,Land,Oceania,Oceania,Australia,Tasmania
1086,Kaurna,7,3,3,1,,Australia,Natural Harbor,Land,Oceania,Oceania,Australia,Princeland
1087,Wurundjeri,11,4,5,2,,Australia,Natural Harbor,Land,Oceania,Oceania,Australia,Victoria
1088,Wergaia,3,1,1,1,,Australia,,Land,Oceania,Oceania,Australia,Victoria
1089,Wiradjuri,8,3,3,2,,Australia,,Land,Oceania,Oceania,Australia,Victoria
1090,Eora,11,5,4,2,,Australia,Natural Harbor,Land,Oceania,Oceania,Australia,Illawara
1091,Kamilaroi,3,1,1,1,,Australia,,Land,Oceania,Oceania,Australia,New South Wales
1092,Gubbi-Gubbi,8,3,3,2,,Australia,,Land,Oceania,Oceania,Australia,New South Wales
1093,Yagalingu,3,1,1,1,,Australia,,Land,Oceania,Oceania,Australia,Queensland
1094,Turrbal,5,2,2,1,,Australia,,Land,Oceania,Oceania,Australia,Queensland
1095,Falklands,3,1,1,1,,Rio de La Plata,,Land,South America,Andes,La Plata,South Atlantic Islands
1096,Cape Verde,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Cap Verde
1097,Fernando Po,5,2,2,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Sao Tome
1098,St. Helena,3,1,1,1,,Ivory Coast,,Land,Africa,Southern Africa,Congo,Angola
1099,Socotra,4,1,2,1,,Gulf of Aden,,Land,Asia,Levant,Arabia,Mahra
1100,Mahe,5,2,2,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Mascarenes
1101,Hollhavai,3,1,1,1,,Coromandel,,Land,Asia,East Indies,Malaya,Indian Ocean Islands
1102,Mauritius,11,5,5,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Mascarenes
1103,Île Bourbon,11,5,5,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Mascarenes
1104,Eiriksfjord,3,1,1,1,,Gulf of St. Lawrence,,Land,North America,North America,Canada,Greenland
1105,Vestbygden,3,1,1,1,,Gulf of St. Lawrence,,Land,North America,North America,Canada,Greenland
1106,Te Tai Tokerau,10,4,4,2,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Te Ika a Maui Hauauru
1107,Taranaki,10,4,4,2,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Te Ika a Maui Hauauru
1108,Te Moana a Toi,10,4,4,2,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Te Ika a Maui Waho
1109,Timaru,3,1,1,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Te Waipounamu
1110,Agadir,8,3,3,2,,Safi,Natural Harbor,Land,Africa,Northern Africa,Maghreb,Southern Morocco
1111,Arguin,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Cap Verde
1112,Trarza,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Jolof
1113,Cayor,8,3,3,2,,Ivory Coast,Senegal Estuary,Land,Africa,Northern Africa,Guinea,Jolof
1114,Gabu,8,3,3,2,,Ivory Coast,Natural Harbor,Land,Africa,Northern Africa,Guinea,Futa Jallon
1115,Brakna,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Niger,Tekrur
1116,Wolof,8,3,3,2,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Jolof
1117,Futa Jallon,9,3,3,3,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Futa Jallon
1118,Sierra Leone,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Guinea
1119,Grain Coast,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Guinea
1120,Bambuk,14,6,6,2,,Timbuktu,,Land,Africa,Northern Africa,Niger,Manding
1121,Bure,14,6,6,2,,Timbuktu,,Land,Africa,Northern Africa,Niger,Manding
1122,Bagoe,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Niger,Kong
1123,Segu,12,5,5,2,,Timbuktu,,Land,Africa,Northern Africa,Niger,Massina
1124,Joma,16,4,4,8,,Timbuktu,Emporium,Land,Africa,Northern Africa,Niger,Manding
1125,Kong,6,2,2,2,,Timbuktu,,Land,Africa,Northern Africa,Niger,Kong
1126,Ivory Coast,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,West African Coast
1127,Tuat,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Sahel,Western Sahara
1128,Taudeni,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Sahel,Western Sahara
1129,Azawad,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Sahel,Western Sahara
1130,Tadmekka,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Sahel,Western Sahara
1131,Massina,9,4,4,1,,Timbuktu,Emporium,Land,Africa,Northern Africa,Niger,Massina
1132,Timbuktu,18,8,8,2,,Timbuktu,Market Town,Land,Africa,Northern Africa,Sahel,Niger Bend
1133,Gao,16,7,7,2,,Timbuktu,Emporium,Land,Africa,Northern Africa,Sahel,Niger Bend
1134,Jenne,17,7,7,3,,Timbuktu,Market Town,Land,Africa,Northern Africa,Niger,Jenne
1135,Yatenga,8,3,3,2,,Timbuktu,,Land,Africa,Northern Africa,Niger,Upper Volta
1136,Gurma,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Niger,Upper Volta
1137,Wagadugu,9,3,3,3,,Timbuktu,,Land,Africa,Northern Africa,Niger,Upper Volta
1138,Kumasi,9,4,4,1,,Timbuktu,,Land,Africa,Northern Africa,Niger,Lower Volta
1139,Gold Coast,5,2,2,1,,Ivory Coast,Natural Harbor,Land,Africa,Northern Africa,Guinea,West African Coast
1140,Abomey,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Niger,Atacora Oueme
1141,Whydah,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,West African Coast
1142,Dendi,7,3,3,1,,Timbuktu,,Land,Africa,Northern Africa,Sahel,Dendi
1143,Borgu,3,1,1,1,,Timbuktu,,Land,Africa,Northern Africa,Niger,Atacora Oueme
1144,Oyo,7,3,3,1,,Katsina,,Land,Africa,Northern Africa,Niger,Lower Niger
1145,Nupe,6,2,2,2,,Katsina,,Land,Africa,Northern Africa,Niger,Lower Niger
1146,Ife,8,3,3,2,,Katsina,City of Four Hundred and One Deities,Land,Africa,Northern Africa,Niger,Lower Niger
1147,Benin,11,4,4,3,,Ivory Coast,"Natural Harbor
Niger Estuary",Land,Africa,Northern Africa,Guinea,Benin
1148,Gobir,9,3,3,3,,Katsina,,Land,Africa,Northern Africa,Niger,Katsina
1149,Katsina,15,6,6,3,,Katsina,Market Town,Land,Africa,Northern Africa,Niger,Katsina
1150,Zamfara,7,3,3,1,,Katsina,,Land,Africa,Northern Africa,Niger,Zazzau
1151,Bonny,4,1,1,2,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1152,Idah,3,1,1,1,,Katsina,,Land,Africa,Northern Africa,Niger,Lower Niger
1153,Pindinga,3,1,1,1,,Katsina,,Land,Africa,Northern Africa,Niger,Lower Niger
1154,Zazzau,9,3,3,3,,Katsina,,Land,Africa,Northern Africa,Niger,Zazzau
1155,Kano,15,5,5,5,,Katsina,,Land,Africa,Northern Africa,Niger,Kano
1156,Damagaram,3,1,1,1,,Katsina,,Land,Africa,Northern Africa,Sahel,West Azbin
1157,Borno,9,4,4,1,,Katsina,Market Town,Land,Africa,Northern Africa,Sahel,Bornu
1158,Kanem,8,3,3,2,,Katsina,Emporium,Land,Africa,Northern Africa,Sahel,Kanem
1159,Bagirmi,7,3,3,1,,Katsina,,Land,Africa,Northern Africa,Sahel,Kanem
1160,Mandara,3,1,1,1,,Katsina,,Land,Africa,Northern Africa,Sahel,Bornu
1161,Bauchi,3,1,1,1,,Katsina,,Land,Africa,Northern Africa,Niger,Adamawa Plateau
1162,Wukari,3,1,1,1,,Katsina,,Land,Africa,Northern Africa,Niger,Adamawa Plateau
1163,Calabar,3,1,1,1,,Ivory Coast,Natural Harbor,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1164,Cameroon,3,1,1,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1165,Gabon,5,2,2,1,,Ivory Coast,,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1166,Loango,9,3,3,3,,Ivory Coast,,Land,Africa,Southern Africa,Congo,Kongolese Coast
1167,Luanda,5,2,2,1,,Ivory Coast,,Land,Africa,Southern Africa,Congo,Angola
1168,Mbamba,5,2,2,1,,Ivory Coast,,Land,Africa,Southern Africa,Congo,Kongolese Coast
1169,Anziku,6,2,2,2,,Congo,,Land,Africa,Southern Africa,Congo,Kongo
1170,Mpemba,15,6,6,3,,Congo,Market Town,Land,Africa,Southern Africa,Congo,Kongo
1171,Ndongo,7,2,2,3,,Ivory Coast,Emporium,Land,Africa,Southern Africa,Congo,Angola
1172,Benguela,10,4,4,2,,Ivory Coast,Natural Harbor,Land,Africa,Southern Africa,Congo,Angola
1173,Namibia,,,,,,,,Wasteland,Africa,,,
1174,Ezorongondo,3,1,1,1,,Ivory Coast,,Land,Africa,Southern Africa,Congo,Angola
1175,Lesser Namaqualand,3,1,1,1,,Cape of Good Hope,,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1176,Roggeveld,3,1,1,1,,Cape of Good Hope,,Land,Africa,Southern Africa,South Africa,South African Plateau
1177,Cape,15,7,7,1,,Cape of Good Hope,Natural Harbor,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1178,Great Karoo,7,3,3,1,,Cape of Good Hope,,Land,Africa,Southern Africa,South Africa,South African Plateau
1179,Swellendam,6,2,2,2,,Cape of Good Hope,,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1180,Xhosa,3,1,1,1,,Cape of Good Hope,,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1181,Natal,5,2,2,1,,Cape of Good Hope,,Land,Africa,Southern Africa,South Africa,Natal
1182,Matsolo,9,4,4,1,,Cape of Good Hope,,Land,Africa,Southern Africa,South Africa,Natal
1183,Inhambane,9,4,4,1,,Zanzibar,Natural Harbor,Land,Africa,Southern Africa,South Africa,Quelimane
1184,Zimbabwe,14,5,4,5,,Zambezi,Emporium,Land,Africa,Southern Africa,South Africa,Zimbabwe
1185,Butua,7,3,3,1,,Zambezi,,Land,Africa,Southern Africa,South Africa,Butua
1186,Sofala,9,3,4,2,,Zanzibar,Natural Harbor,Land,Africa,Southern Africa,South Africa,Quelimane
1187,Sena,6,2,2,2,,Zambezi,,Land,Africa,Southern Africa,East Africa,Lower Zambezi
1188,Massapa,5,2,2,1,,Zambezi,,Land,Africa,Southern Africa,South Africa,Butua
1189,Shangwe,5,2,2,1,,Zambezi,,Land,Africa,Southern Africa,South Africa,Butua
1190,Zumbo,5,2,2,1,,Zambezi,,Land,Africa,Southern Africa,East Africa,Lower Zambezi
1191,Tete,5,2,2,1,,Zambezi,Market Town,Land,Africa,Southern Africa,East Africa,Lower Zambezi
1192,Quelimane,7,3,3,1,,Zanzibar,Zambezi Estuary,Land,Africa,Southern Africa,South Africa,Quelimane
1193,Menabe,9,3,3,3,,Zanzibar,Natural Harbor,Land,Africa,Southern Africa,East Africa,Sakalava
1194,Besalampy,5,2,2,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Sakalava
1195,Mozambique,6,2,2,2,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Mozambique
1196,Kilwa,10,4,4,2,,Zanzibar,Natural Harbor,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1197,Mzizima,3,1,1,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1198,Lindi,5,2,2,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1199,Bagamoyo,3,1,1,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1200,Tanga,6,2,2,2,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Mombasa
1201,Zanzibar,5,2,2,1,,Zanzibar,Entrepot,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1202,Mombasa,12,5,5,2,,Zanzibar,Entrepot,Land,Africa,Southern Africa,East Africa,Mombasa
1203,Malindi,10,4,4,2,,Zanzibar,Natural Harbor,Land,Africa,Southern Africa,East Africa,Mombasa
1204,Lamu,7,3,3,1,,Zanzibar,,Land,Africa,Southern Africa,East Africa,Northern Swahili Coast
1205,Mogadishu,10,4,4,2,,Gulf of Aden,Entrepot,Land,Africa,Northern Africa,Horn of Africa,Mogadishu
1206,Qardho,3,1,1,1,,Gulf of Aden,,Land,Africa,Northern Africa,Horn of Africa,Majeerteen
1207,Ogaden,3,1,1,1,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Ogaden
1208,Degehabur,3,1,1,1,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Ogaden
1209,Berbera,10,4,4,2,,Gulf of Aden,,Land,Africa,Northern Africa,Horn of Africa,Somaliland
1210,Dawaro,3,1,1,1,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Ogaden
1211,Harer,16,6,6,4,,Gulf of Aden,Emporium,Land,Africa,Northern Africa,Horn of Africa,Ifat
1212,Zeila,13,5,5,3,,Gulf of Aden,Entrepot,Land,Africa,Northern Africa,Horn of Africa,Ifat
1213,Shewa,9,3,3,3,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Shewa
1214,Wollo,6,2,2,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Central Ethiopia
1215,Tajura,6,2,2,2,,Gulf of Aden,,Land,Africa,Northern Africa,Horn of Africa,Aussa
1216,Tegali,3,1,1,1,,Ethiopia,,Land,Africa,Northern Africa,Sahel,Kurdufan
1217,Fazughli,4,1,1,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Sennar
1218,Sidamo,6,2,2,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Hadiya
1219,Darfur,3,1,1,1,,Ethiopia,Emporium,Land,Africa,Northern Africa,Sahel,Central Sahara
1220,Bayuda,4,1,1,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Dongola
1221,El Obeid,3,1,1,1,,Ethiopia,,Land,Africa,Northern Africa,Sahel,Kurdufan
1222,Gezira,4,1,1,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Upper Nubia
1223,Gojjam,6,2,2,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Central Ethiopia
1224,Gonder,10,4,4,2,,Ethiopia,Market Town,Land,Africa,Northern Africa,Horn of Africa,Central Ethiopia
1225,Butana,3,1,1,1,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Upper Nubia
1226,Beja,4,1,1,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Upper Nubia
1227,Aksum,7,2,2,3,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Tigray
1228,Dongola,5,2,1,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Dongola
1229,Berber,4,1,1,2,,Ethiopia,,Land,Africa,Northern Africa,Horn of Africa,Dongola
1230,Massawa,5,2,2,1,,Gulf of Aden,,Land,Africa,Northern Africa,Horn of Africa,Red Sea Coast
1231,Aswan,5,2,2,1,,Alexandria,,Land,Africa,Levant,Egypt,Said
1232,Suakin,3,1,1,1,,Gulf of Aden,,Land,Africa,Northern Africa,Horn of Africa,Red Sea Coast
1233,Kharga,3,1,1,1,,Alexandria,,Land,Africa,Levant,Egypt,al-Wahat
1234,Qasr Ibrim,6,2,2,2,,Alexandria,,Land,Africa,Levant,Egypt,Lower Nubia
1235,Guam,3,1,1,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,West Micronesia
1236,Rabaul,3,1,1,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Melanesia
1237,Hanuabada,3,1,1,1,,The Moluccas,,Land,Oceania,East Indies,Moluccas,Papuan Peninsula
1238,Solomon Islands,3,1,1,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Melanesia
1239,Vanuatu,3,1,1,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Melanesia
1240,Hawaii,7,3,3,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Northern Polynesia
1241,Kiribati,3,1,1,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,East Micronesia
1242,Viti Levu,7,3,3,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Fiji
1243,Samoa,8,3,3,2,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Polynesia
1244,Tuamotu Islands,7,3,3,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Eastern Polynesia
1245,Manokwari,3,1,1,1,,The Moluccas,,Land,Oceania,East Indies,Moluccas,Vogelkop Peninsula
1246,Ata Whenua,3,1,1,1,,Polynesian Triangle,,Land,Oceania,Oceania,Oceania,Te Waipounamu
1247,Corsica,8,3,3,2,,Genoa,,Land,Europe,Western Europe,Italy,Western Mediterranean Islands
1248,Maldives,5,2,2,1,,Coromandel,,Land,Asia,East Indies,Malaya,Indian Ocean Islands
1249,Yola,3,1,1,1,,Katsina,,Land,Africa,Northern Africa,Niger,Adamawa Plateau
1250,Vänern,,,,,,,,Lake,,,,
1251,Vättern,,,,,,,,Lake,,,,
1252,Gulf of Bothnia,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1253,Eastern Sea of Åland,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1254,Gulf of Finland,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1255,Western Baltic Sea,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1256,Gulf of Riga,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1257,Southern Baltic Sea,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1258,Öresund,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Kattegat
1259,Kattegat,,,,,,,,Inland sea,,North Atlantic,Baltic Sea,Kattegat
1260,Lake Peipus,,,,,,,,Lake,,,,
1261,Ladoga,,,,,,,,Lake,,,,
1262,Onega,,,,,,,,Lake,,,,
1263,Barents Sea,,,,,,,,Sea,,North Atlantic,North Atlantic,White Sea
1264,Lofoten Sea,,,,,,,,Sea,,North Atlantic,North Atlantic,White Sea
1265,Northern Norwegian Sea,,,,,,,,Sea,,North Atlantic,North Atlantic,Norwegian Sea
1266,Southern Norwegian Sea,,,,,,,,Sea,,North Atlantic,North Atlantic,North Sea
1267,Skagerrak,,,,,,,,Sea,,North Atlantic,Baltic Sea,Kattegat
1268,Helgoland Bight,,,,,,,,Sea,,North Atlantic,North Atlantic,North Sea
1269,Coast of Holland,,,,,,,,Sea,,North Atlantic,North Atlantic,North Sea
1270,Dogger Bank,,,,,,,,Sea,,North Atlantic,North Atlantic,North Sea
1271,Straits of Dover,,,,,,,,Sea,,North Atlantic,North Atlantic,English Channel
1272,The Channel,,,,,,,,Sea,,North Atlantic,North Atlantic,English Channel
1273,Taveta,3,1,1,1,,Great Lakes,,Land,Africa,Southern Africa,Central Africa,Kenya
1274,Coast of Brittany,,,,,,,,Sea,,North Atlantic,North Atlantic,Bay of Biscay
1275,Quiberon Bay,,,,,,,,Sea,,North Atlantic,North Atlantic,Bay of Biscay
1276,Cote D'Argent,,,,,,,,Sea,Europe,North Atlantic,North Atlantic,Bay of Biscay
1277,Bay of Biscay,,,,,,,,Open sea,,North Atlantic,North Atlantic,Bay of Biscay
1278,Cantabrian Sea,,,,,,,,Sea,,North Atlantic,North Atlantic,Bay of Biscay
1279,Tyne,,,,,,,,Sea,,North Atlantic,North Atlantic,North Sea
1280,Firth of Forth,,,,,,,,Sea,,North Atlantic,North Atlantic,North Sea
1281,Coast of Shetland,,,,,,,,Sea,Europe,North Atlantic,North Atlantic,North Sea
1282,Moray Firth,,,,,,,,Sea,,North Atlantic,North Atlantic,North Sea
1283,North Channel,,,,,,,,Sea,,North Atlantic,North Atlantic,North Atlantic
1284,Irish Sea,,,,,,,,Sea,,North Atlantic,North Atlantic,Celtic Sea
1285,St. George's Channel,,,,,,,,Sea,,North Atlantic,North Atlantic,Celtic Sea
